route_type,catchment,frequency (veh/hours),fleet,length (m),num station,veh.km/h
bus,3245550.1287378795,2.508795120836821,1545.0,14885481.05300392,32527,27802.8
subway,659274.923015879,16.763005036077846,63.0,147313.1795131116,174,2062.8
rail,513903.51017002,1.6162852988444172,15.0,590083.0,170,442.8
