route_id,catchment,frequency (veh/hours),fleet,length (m),num station,veh.km/h,round trip time (s)
MRCLASSO_400,61685.15,1.63,8.0,150700.0,390,154.8,18900.0
MRCLASSO_200,9965.42,0.67,1.0,45559.0,6,18.0,3300.0
MRCLASSO_5,18719.29,1.01,1.0,22242.0,155,14.4,3120.0
MRCLASSO_8,36760.96,0.67,1.0,80374.0,289,21.6,10140.0
MRCLASSO_14,24650.94,0.83,2.0,107087.0,380,54.0,11580.0
MRCLASSO_2,6692.26,0.67,1.0,61828.0,95,14.4,5100.0
MRCLASSO_11,25515.33,0.85,2.0,108976.0,425,46.8,12720.0
MRCLASSO_9,18446.47,0.67,1.0,88917.0,216,18.0,10200.0
MRCLASSO_1,34951.21,0.84,2.0,60099.0,209,36.0,8160.0
MRCLASSO_100,57132.08,0.67,1.0,94734.0,232,28.8,10200.0
MRCLASSO_300,59461.91,0.89,3.0,84242.0,250,79.2,9660.0
MRCLASSO_15,17895.59,0.83,2.0,27305.0,112,25.2,3300.0
MRCLASSO_T3,318.31,3.35,1.0,6844.0,15,25.2,480.0
MRCLASSO_6,8582.77,,0.0,16372.0,35,0.0,1800.0
CITVR_27,13059.23,1.34,1.0,8876.0,26,14.4,1080.0
CITVR_200,31870.59,1.47,6.0,415957.0,461,216.0,35154.0
CITVR_26,3885.41,1.34,1.0,4598.0,19,7.2,900.0
CITVR_300,27362.11,1.01,2.0,129424.0,120,93.6,9534.0
CITVR_24,4834.04,1.34,1.0,7115.0,28,10.8,1380.0
CITVR_82,12368.71,,0.0,11771.0,35,0.0,1620.0
CITVR_83,13786.43,0.67,1.0,10384.0,39,7.2,1440.0
CITVR_23,13681.03,1.34,1.0,11383.0,50,18.0,1440.0
CITVR_22,7505.85,1.34,1.0,10163.0,36,14.4,1500.0
CITVR_21,5765.59,1.34,1.0,10579.0,39,14.4,1320.0
CITVR_11,14082.77,,0.0,51890.0,135,0.0,6540.0
CITVR_84,9399.72,0.67,1.0,10395.0,41,7.2,1440.0
CITVR_20B,14999.06,1.34,1.0,10075.0,41,14.4,1440.0
CITVR_12,11599.18,0.67,1.0,18452.0,50,14.4,2700.0
CITVR_85,9100.81,,0.0,10030.0,28,0.0,1560.0
CITVR_201,15964.27,1.77,3.0,59821.0,34,111.6,4080.0
CITVR_20M,6374.06,1.34,1.0,5608.0,30,10.8,840.0
CITVR_25,1598.0,1.34,1.0,2856.0,4,7.2,360.0
CITSV_722,20462.92,1.0,3.0,81047.0,88,86.4,6840.0
CITSV_710,3903.42,,0.0,44191.0,12,0.0,2400.0
CITSV_700,24210.67,1.0,7.0,323163.0,308,248.4,24420.0
CITSV_723,5254.09,0.67,2.0,52146.0,26,39.6,2760.0
CITSV_709,7604.68,0.67,1.0,77365.0,10,54.0,4080.0
CITSV_732,7120.07,,0.0,73356.0,57,0.0,4200.0
CITSV_705,7504.08,1.27,3.0,151024.0,17,208.8,7080.0
CITSV_720,17028.55,0.67,1.0,28218.0,54,21.6,2580.0
CITSV_724,8265.07,1.47,2.0,40365.0,10,50.4,2700.0
CITSV_721,15120.85,1.01,3.0,79965.0,110,86.4,7140.0
CITSV_370,4359.0,1.34,1.0,24350.0,74,36.0,2520.0
CITSV_731,9355.0,0.67,2.0,83955.0,138,57.6,6240.0
CITSV_733,5266.85,0.67,1.0,30394.0,16,21.6,1800.0
CITSV_730,8326.99,,0.0,50182.0,58,0.0,3660.0
CITSV_708,7242.86,,0.0,85705.0,8,0.0,4200.0
CITSV_707,5881.94,0.67,1.0,86380.0,8,61.2,3900.0
SJSR_96SE,6156.19,4.0,3.0,37123.5,2,151.2,2417.0
SJSR_96A,20582.15,1.0,2.0,86438.2,108,90.0,6637.0
SJSR_96E,15587.98,4.0,4.0,77997.0,53,158.4,6246.0
SJSR_96L,32211.72,,0.0,82623.2,103,0.0,10466.0
STM_21,14610.47,1.68,2.0,8750.16,21,18.0,1380.0
STM_777,179.0,4.02,2.0,3208.62,4,14.4,720.0
STM_189,45643.98,3.49,7.0,32456.63,194,118.8,4980.0
STM_75,16690.73,1.08,2.0,3735.89,23,7.2,1260.0
STM_24,105321.48,6.67,18.0,25176.02,135,176.4,8760.0
STM_174,12107.96,4.46,4.0,14127.46,41,68.4,2220.0
STM_121,79487.67,8.63,16.0,23537.57,116,205.2,6120.0
STM_92,54110.63,1.85,2.0,13839.81,69,28.8,3360.0
STM_407,27235.05,1.58,2.0,22233.97,105,39.6,3420.0
STM_18,109663.48,8.68,16.0,22761.62,105,201.6,6240.0
STM_146,46295.83,2.2,5.0,18634.05,91,43.2,4200.0
STM_116,18814.12,1.01,2.0,13099.22,63,14.4,2340.0
STM_136,63770.5,5.99,8.0,17854.89,78,111.6,3900.0
STM_22,26106.51,1.86,4.0,27108.33,98,57.6,4500.0
STM_48,79902.39,2.98,12.0,69575.51,239,212.4,12060.0
STM_106,29548.87,3.69,2.0,6664.12,36,25.2,1140.0
STM_74,20604.04,2.01,2.0,10749.46,39,25.2,1800.0
STM_171,80050.74,4.42,13.0,37597.44,178,169.2,9360.0
STM_138,92101.81,1.52,3.0,21722.96,112,36.0,4320.0
STM_90,66895.03,3.98,10.0,33663.62,183,136.8,8160.0
STM_175,19257.75,2.53,5.0,26981.53,103,72.0,4440.0
STM_26,33380.22,2.01,3.0,16090.19,90,36.0,3120.0
STM_487,41834.42,4.62,6.0,28245.85,68,104.4,4680.0
STM_117,38188.11,1.84,2.0,11296.17,53,25.2,3000.0
STM_468,82261.63,3.2,9.0,45134.45,173,147.6,8160.0
STM_78,47881.17,2.01,2.0,14151.49,73,32.4,2760.0
STM_405,13371.04,3.18,7.0,66788.99,112,216.0,6960.0
STM_77,27136.33,1.84,2.0,6366.65,34,14.4,1560.0
STM_25,55404.0,4.36,4.0,10766.85,66,50.4,2940.0
STM_406,29231.58,15.72,6.0,6163.33,35,97.2,1200.0
STM_64,28877.12,5.72,5.0,8209.24,48,54.0,1980.0
STM_467,80516.67,3.57,5.0,18977.13,66,72.0,4140.0
STM_107,78003.63,2.35,6.0,27616.48,131,72.0,6120.0
STM_409,40471.92,2.64,4.0,40690.14,118,111.6,4980.0
STM_491,21147.05,4.02,6.0,26705.84,52,108.0,4080.0
STM_63,68427.3,2.01,2.0,11576.69,75,28.8,2640.0
STM_104,80593.06,2.82,6.0,21952.72,144,68.4,5220.0
STM_14,53887.5,2.19,2.0,9793.71,55,25.2,2040.0
STM_40,31144.1,1.66,3.0,33020.7,101,61.2,5100.0
STM_150,57852.42,1.68,2.0,11677.21,80,21.6,3360.0
STM_69,94732.24,6.03,16.0,34272.36,174,208.8,8280.0
STM_218,27655.1,2.01,2.0,18067.6,94,39.6,2700.0
STM_410,62200.83,3.35,4.0,25288.21,67,86.4,3660.0
STM_411,17243.37,1.52,6.0,90138.75,68,151.2,8880.0
STM_12,25157.89,2.37,3.0,17608.76,84,46.8,3300.0
STM_219,19736.17,1.52,2.0,28978.1,91,46.8,3540.0
STM_217,22984.08,2.41,3.0,25540.09,88,64.8,3840.0
STM_93,60956.17,2.35,2.0,10644.74,70,28.8,2340.0
STM_115,7218.29,5.43,3.0,7486.96,30,43.2,1920.0
STM_73,14229.54,1.68,2.0,9298.55,24,18.0,1560.0
STM_191,49283.33,2.01,5.0,36518.49,186,79.2,7020.0
STM_110,65098.46,1.98,6.0,54729.12,220,111.6,9900.0
STM_495,69171.74,2.51,6.0,40465.04,127,108.0,7560.0
STM_192,78166.05,2.1,5.0,32921.1,153,75.6,7020.0
STM_61,66800.56,2.36,3.0,14191.6,95,36.0,3660.0
STM_216,24623.74,2.02,3.0,30921.92,82,64.8,3780.0
STM_131,28206.08,3.41,3.0,7449.71,33,28.8,1680.0
STM_105,35644.17,9.98,9.0,10084.7,59,104.4,2880.0
STM_225,26390.51,2.35,4.0,32576.79,135,79.2,5280.0
STM_135,47425.42,2.01,1.0,9519.2,22,21.6,1560.0
STM_220,7072.06,,0.0,22566.32,12,0.0,2400.0
STM_465,79504.45,2.68,3.0,9578.67,70,28.8,3000.0
STM_460,96226.46,4.33,18.0,84802.58,167,363.6,13380.0
STM_141,73650.86,6.1,14.0,30424.45,152,194.4,7260.0
STM_177,22144.16,2.18,2.0,17284.58,95,39.6,2640.0
STM_140,61926.95,2.01,4.0,17873.73,109,39.6,3900.0
STM_85,86910.18,2.45,6.0,33531.24,156,90.0,6600.0
STM_46,36235.0,1.55,3.0,8100.83,34,18.0,2760.0
STM_10,86337.6,2.2,3.0,14421.82,63,36.0,3000.0
STM_475,9870.1,3.02,2.0,13612.78,10,43.2,1740.0
STM_32,70659.92,5.92,9.0,22879.88,111,140.4,4860.0
STM_119,53700.43,1.34,3.0,19834.46,96,32.4,5160.0
STM_36,70600.0,2.18,4.0,21740.89,108,54.0,5640.0
STM_31,68103.0,2.01,3.0,14014.25,58,32.4,3360.0
STM_47,61308.4,2.71,3.0,9827.68,48,28.8,3000.0
STM_37,74706.61,2.01,6.0,33883.68,136,72.0,7680.0
STM_108,62500.92,2.01,2.0,13525.79,55,32.4,3000.0
STM_68,70994.64,2.18,5.0,51859.13,195,115.2,6960.0
