route_id,catchment,frequency (veh/hours),fleet,length (m),num station,veh.km/h,round trip time (s)
STM_213,43273.36,2.48,7.0,39912.57,138,104.4,7200.0
STM_419,16280.69,3.58,4.0,27289.85,53,100.8,3060.0
STM_94,66604.49,2.66,3.0,13975.64,64,43.2,2880.0
STM_49,90432.1,4.42,12.0,47937.32,183,208.8,8400.0
STM_200,16701.3,2.33,4.0,30994.84,147,75.6,4260.0
STM_1,260456.43,17.78,23.0,40144.82,55,716.4,4450.0
STM_215,38050.1,2.69,5.0,33895.94,130,93.6,5640.0
STM_129,96566.52,4.38,7.0,20158.75,93,90.0,5160.0
STM_16,50062.61,2.18,3.0,16487.26,97,39.6,3600.0
STM_212,3460.06,3.69,2.0,6577.14,28,25.2,1380.0
STM_440,61976.33,2.68,3.0,16186.21,46,46.8,3120.0
STM_496,23406.69,5.5,9.0,32173.61,64,172.8,5220.0
STM_113,40895.03,5.27,7.0,19549.58,86,108.0,4140.0
STM_56,26230.83,2.68,1.0,4107.91,23,14.4,960.0
STM_444,3793.25,3.02,1.0,7987.55,2,25.2,780.0
STM_19,21781.92,3.02,2.0,7733.39,47,28.8,2100.0
STM_193,78506.85,4.25,8.0,22249.57,104,100.8,5820.0
STM_445,89567.0,5.03,4.0,10075.2,66,54.0,2760.0
STM_41,108559.87,2.69,6.0,27937.22,145,79.2,6480.0
CITLR_21,8794.49,2.01,1.0,8930.0,46,18.0,1260.0
CITLR_39,17804.93,,0.0,12761.0,44,0.0,1680.0
CITLR_29,14844.01,,0.0,14786.0,53,0.0,2160.0
CITLR_11,8078.45,2.35,1.0,10666.0,33,25.2,1380.0
CITLR_121,19590.19,,0.0,40080.0,72,0.0,5700.0
CITLR_22,5329.87,3.35,2.0,9134.0,47,32.4,1200.0
CITLR_28,14494.96,,0.0,16168.0,53,0.0,2280.0
CITLR_23,11291.2,2.35,1.0,9826.0,52,25.2,1320.0
CITLR_133,24084.64,1.01,1.0,27722.0,49,28.8,3000.0
